moroni 0 -0,299007194162815 1 0
cup 789 -2,57737583870877 5 2
refused 790 -125,760575371031 108 1
allowed 791 -25,4283874083443 62 13
covid 792 -26,5960337709151 80 15
extra 793 40,240937500373 132 73
price 794 -0,412067911919237 60 54
paying 795 -18,0939701752243 42 5
hostage 796 -1,57930851293696 3 0
deserve 797 0,901229840145088 4 4
better 798 88,014133848955 55 96
armrest 799 -1,66782486008845 3 2
plastic 800 -26,5577789371171 9 2
chipped 801 -0,922791300678063 1 0
signs 802 -1,75768601505909 3 1
ancient 803 -0,990724673862907 1 0
noisy 804 -1,22166738054793 1 0
chinese 805 15,6372041350404 20 11
feel 806 19,3887790081505 34 36
shaking 807 -0,591286269198771 3 1
during 808 24,8790803876142 98 76
makes 809 12,2147804841002 16 18
wonder 810 -5,21098704399121 7 2
proper 811 -1,12149052807199 17 8
nearly 812 4,69918020497969 8 10
baggage 813 -113,252537874017 230 51
earlier 814 9,12447517873928 33 13
bags 815 -29,1976716621768 150 44
seems 816 12,7431901352681 30 15
common 817 3,13052896122938 7 5
thing 818 2,5492860960538 53 30
wound 819 -2,06223302048735 1 0
missing 820 -47,4195901564414 67 13
turkish 821 -2,30130513212704 3 8
pcr 822 -1,62742348016585 4 0
test 823 -18,7914420458914 31 0
allow 824 -32,5797282392065 50 3
loved 825 42,2782092752299 3 13
ones 826 31,9262832769781 17 12
risk 827 9,87259865644043 8 2
lives 828 4,76397611776552 3 1
vip 829 -6,7017242460054 4 0
bus 830 -36,1976803023823 58 8
ensure 831 9,85555920012088 9 13
comfort 832 38,386320294154 19 42
punctuality 833 2,30215277308698 3 4
awa 834 -1,56664557725501 1 0
needs 835 0,310771316481182 15 17
held 836 9,5152083781153 11 7
accountable 837 -0,91027721795732 1 0
flown 838 28,8740731750029 50 78
staffs 839 0,3417196185988 1 1
arrogant 840 -8,29936921200686 8 2
normal 841 19,6332306803825 12 10
every 842 11,7568406958863 83 69
minute 843 40,0105279509493 28 22
sell 844 -3,86638887667395 10 3
person 845 -27,1390833751946 88 20
used 846 -66,9275681467855 55 29
sandwiches 847 -15,4434974034054 3 3
pastries 848 -0,883538170104631 1 0
juices 849 5,58560338964947 1 4
maintaining 850 5,7628402497912 1 5
lagos 851 -0,309837423502392 2 0
3rd 852 -8,54805637362788 14 3
notice 853 -26,9236348590924 31 9
7th 854 9,75176477481228 4 5
drive 855 2,54352657945991 10 2
20,000 856 -0,0953678473342992 1 0
naira 857 -1,56624423142813 2 0
workers 858 -7,91099700835114 6 0
knew 859 -18,1998762936796 27 8
someone 860 -43,3890795606603 75 7
worked 861 40,3161807957646 13 19
require 862 -2,55526233033988 8 1
50,000 863 -0,0191958223558943 1 0
expensive 864 -30,0875403683575 40 13
wearing 865 -2,46654604145631 4 7
shield 866 -0,407810224689455 1 0
shops 867 1,19702739911015 2 1
ghana 868 -0,785890629322217 2 1
charged 869 -58,4862971256889 52 2
120 870 -7,91287956643518 7 1
can't 871 -9,94653301334313 53 26
charge 872 38,7564567622526 67 29
advertising 873 -10,3924336953985 7 0
squeeze 874 -5,46286399772524 3 0
tests 875 -5,45281993381345 9 0
profit 876 -2,65814564323898 5 1
struggling 877 -1,03795081122683 4 0
reduced 878 -11,2250531289843 4 0
income 879 -0,0406447984467468 3 0
freetown 880 -0,494224197740771 1 0
response 881 -30,1302204595554 91 6
professional 882 103,956138230234 17 142
notified 883 0,478372732586401 13 4
surprising 884 0,435435681527218 1 0
4-hours 885 0,212157644150852 1 0
confirming 886 -4,49638478238899 8 0
provide 887 -11,490046006064 61 15
sure 888 62,1503890502967 49 38
inconvenienced 889 -0,91017212393236 2 0
question 890 -17,1938611133461 12 4
stay 891 -29,1185479745821 62 13
collective 892 -1,29928031838466 1 0
anger 893 -3,62605130170754 5 0
frustration 894 -15,3692017163007 10 0
quick 895 66,484451692451 7 69
movement 896 -1,71150733051426 2 0
growing 897 -1,0239636873938 2 0
frustrating 898 -22,7019330486199 19 2
lastly 899 1,20015718862422 2 2
manager 900 -4,03127282714996 28 6
transferring 901 -1,92459457433996 5 1
enough 902 29,9423938756075 60 60
notify 903 -6,99724199212959 10 0
successfully 904 -4,70151730021533 5 0
transferred 905 1,90937304259714 11 4
pass 906 -21,966293916044 79 20
looked 907 -24,5556230567189 25 15
surprised 908 54,8392302606903 5 36
saying 909 -62,6954164372736 71 6
right 910 4,00167221971865 50 28
looking 911 20,9425832470146 21 24
wrong 912 -25,3411916388856 47 9
improve 913 5,62964797636012 3 6
stress 914 13,3943483823884 18 13
surprise 915 17,541141372752 12 17
cancellation 916 -24,1399568309728 35 5
entertaining 917 -1,0336350182228 1 0
cheaper 918 23,8453688433139 15 18
fare 919 18,9003027057277 29 23
cannot 920 -34,0701617820981 82 18
comment 921 22,4822359363466 4 8
2pm 922 -1,5533607511564 1 1
travelling 923 -45,1757191953136 29 20
evening 924 7,60756470142285 19 12
long 925 4,70566814737658 102 82
coming 926 -4,8472526234329 28 17
2hours 927 -1,51749257529969 2 0
communication 928 -29,0232325006385 38 4
neither 929 3,7526854229405 11 2
show 930 72,4586885470705 29 10
sense 931 8,26581817677516 10 6
sympathy 932 -1,2360180889424 7 1
being 933 43,5747905019553 128 59
knowing 934 1,79062801082182 22 5
there’s 935 -6,3696297247287 10 0
mess 936 -21,8726137808397 17 1
business 937 56,8533794013101 147 225
surely 938 0,779889952335455 4 2
announcements 939 4,62606274472832 13 26
' 940 -30,2215492057249 57 40
noticed 941 31,8592384352625 21 13
empty 942 24,3707250698799 17 19
space 943 20,9458039244385 39 60
looks 944 2,38815578002862 7 5
failed 945 -19,6364440995904 20 3
clean 946 166,222646212402 7 194
table 947 -8,42892833199768 5 4
covered 948 14,6796007733697 3 1
smears 949 -1,31034260327478 1 0
wet 950 -2,07559284301269 3 1
towel 951 6,72212778307597 1 7
wipe 952 3,53066787758408 1 2
relax 953 4,59776491918497 4 6
man 954 21,5703187814775 18 8
chill 955 -0,213508386497157 1 0
funny 956 11,7287663422193 4 5
how 957 2,31811200101772 132 54
clueless 958 -0,604806499837342 2 0
idea 959 4,19281474016272 24 4
professionalism 960 14,4566257658678 2 9
quality 961 22,4511992836144 23 60
dependant 962 -1,03239062313567 1 0
leaving 963 -24,3134563006989 49 26
sa 964 -1,25410297417739 3 1
uk 965 -23,7641462625303 17 4
north 966 -10,8213991408802 7 13
african 967 -0,815981140973038 1 0
theme 968 -1,16098009406635 1 0
tripoli 969 -44,5360228361264 4 0
inedible 970 -12,3862456033874 9 1
dry 971 -33,8933355453393 9 0
serve 972 -6,81352505996522 14 17
warm 973 33,5193063265734 6 30
soda 974 3,02185120960784 3 3
movies 975 31,1706012146411 17 62
heavily 976 -1,18848910820134 4 2
censored 977 0,000835644780115885 1 0
it's 978 -43,6638749023266 85 35
amusing 979 -1,35599161025881 1 0
gets 980 5,28302443538933 10 7
irritating 981 -3,71832438531254 3 0
woman's 982 -0,897093135582792 1 0
shoulders 983 0,187110533279884 3 2
blurred 984 -1,37172182643401 1 0
censor 985 -1,06344024630424 1 0
references 986 -2,06484978723566 2 0
alcohol 987 18,3662173673819 8 12
gambling 988 -1,49552861479834 2 0
blood 989 0,104136354105611 1 0
death 990 -1,39839583299979 3 0
& 991 -10,8907255687708 44 12
murder 992 -1,04181495566937 1 0
barely 993 -37,1129252750952 18 1
breath 994 -0,730562900440098 3 0
smoke 995 -0,0727477204393352 2 0
there's 996 -8,40837154211866 14 1
organisation 997 -4,51581943706415 3 1
gatwick 998 -27,7000938300509 15 21
outward 999 -19,4476986518352 6 4
having 1000 26,2849555792217 62 49
fine 1001 -34,3613756626199 48 44
although 1002 37,8320524490122 34 46
hand 1003 -13,384377457427 51 27
a320 1004 2,97590286451201 3 28
airbus 1005 36,2177427827929 4 36
touched 1006 -27,264347750025 4 3
down 1007 -44,9886386576056 69 33
dot 1008 -21,7240866525211 3 0
acceptable 1009 -32,1002827535385 13 3
simply 1010 -78,9250204539974 48 9
trustful 1011 0,327930512664807 1 0
try 1012 -25,3180141740097 61 21
disappointed 1013 -30,5488153410837 25 9
paris 1014 18,6097906132274 38 42
sao 1015 0,374949900840851 3 2
paulo 1016 0,848292098822208 2 2
message 1017 -3,01950119813881 31 3
need 1018 -18,041734386348 104 29
webpage 1019 1,40933728106755 2 1
xxxx 1020 -1,09929615342957 1 0
0,06 1021 -0,88761607165803 1 0
immediately 1022 13,5795476809514 27 21
answer 1023 -71,5651175106248 80 1
many 1024 67,4623746300407 94 73
form 1025 -45,7955206798369 40 3
i'm 1026 -16,6515203631723 60 32
see 1027 63,69940072773 69 44
actually 1028 -18,3501315716887 45 21
policy 1029 -17,605401393308 44 5
says 1030 -13,3210280464129 25 1
fees 1031 -20,5726700421761 34 3
double 1032 -7,79907106906132 11 1
actual 1033 -20,4161762087681 10 2
guess 1034 -1,04094680801078 16 5
often 1035 11,0443996569348 10 13
oblige 1036 3,14962384665833 1 1
costumers 1037 -0,212715882301664 1 0
dates 1038 -14,588792521967 33 2
date 1039 -19,9894643618676 63 14
impose 1040 -0,299092906061138 1 0
may 1041 37,123788769042 49 39
won't 1042 -24,1096969516527 26 1
whatever 1043 -9,99524645134585 11 2
anymore 1044 -20,3708446581712 22 2
kiev 1045 -1,82632636205588 15 3
1.5 1046 -4,57271169278431 17 8
months 1047 -62,8930010063541 97 13
plans 1048 -7,92271519094832 15 2
purchased 1049 -21,105513084403 55 9
insurance 1050 -10,3210399444313 16 0
wanted 1051 1,91112974989746 75 26
support 1052 -0,974085281684104 37 6
listening 1053 1,59056936124832 4 4
music 1054 5,65159787412342 11 19
10-15 1055 -2,12742877082314 4 1
getting 1056 38,3590779573 73 32
billed 1057 1,19716833243015 2 1
abroad 1058 9,45324927300832 1 3
picked 1059 -11,4285773377999 15 2
official 1060 -8,23073777939693 12 1
reply 1061 -36,2637476477603 48 1
submit 1062 -10,2385068564389 17 0
requests 1063 -19,6186854752799 10 1
manage 1064 -13,5792546445407 14 0
status 1065 -11,2523496950755 23 5
ability 1066 0,727001486358699 4 2
worthless 1067 -2,10183790861715 2 0
seeing 1068 3,69213194674446 5 5
lot 1069 -1,53460919420915 49 41
bugs 1070 -0,574673898133763 1 0
parents 1071 2,8610079930448 13 5
regularly 1072 16,1692914072747 5 11
air 1073 183,547732696472 581 650
france 1074 30,1084306252228 9 19
transavia 1075 -1,72308439348037 1 0
middle 1076 -11,7779196266448 26 20
east 1077 4,97479387003686 3 6
today 1078 -45,0942727466553 37 8
aigle 1079 -4,31130011953008 6 0
azur 1080 -4,32280845210087 6 0
passport 1081 32,3414804509568 45 17
name 1082 2,0221148666563 42 17
ludovic 1083 -2,04461854391015 1 0
ludwig 1084 -2,18436135797964 1 0
letters 1085 -11,4321577247848 6 0
difference 1086 0,00141551666959039 29 12
changing 1087 -6,88964037815558 24 8
80eur 1088 -1,36777372973402 1 0
lose 1089 -6,31351813255507 25 2
honest 1090 2,58532213027837 4 4
choose 1091 20,052455769038 27 31
hainan 1092 -0,765965007788485 3 1
start 1093 -2,36021518714736 29 17
notifications 1094 -1,85872644985035 4 0
wasn't 1095 -46,5353465025478 36 21
issue 1096 -86,3377063817055 95 23
polo 1097 1,40898859664285 1 1
skip 1098 -0,215991878330704 1 0
on-board 1099 -18,2184950837952 6 1
shanghai 1100 -14,0533280048768 36 13
second 1101 -0,170873734993336 78 33
obviously 1102 -10,7851321365149 27 5
landing 1103 61,611895031441 36 74
instructions 1104 -11,53083906706 12 3
confirmed 1105 -35,382048283183 32 2
assume 1106 -2,95816147409294 3 0
responsibility 1107 -1,02181522889147 26 3
result 1108 23,6821394989649 24 6
doesn't 1109 -48,2253185459996 34 2
exist 1110 -24,9495096448574 13 0
isn't 1111 -12,0157165743484 8 5
reachable 1112 -0,408559601897634 2 0
considered 1113 -10,8354509889313 7 1
read 1114 17,0942314600079 21 16
reviews 1115 66,4277833789716 24 46
beirut 1116 3,81413812782342 2 4
tight 1117 24,0061121821898 11 13
bank 1118 -16,1343240830276 22 1
account 1119 -16,1470971134711 14 2
notification 1120 -7,05376516406134 13 4
rescheduled 1121 -22,9833586063624 20 1
suite 1122 -0,734064193784289 2 1
offerings 1123 -1,99435008461324 3 5
sites 1124 0,280068726176428 1 1
couple 1125 32,6728711419613 33 14
totally 1126 -0,373027043870197 19 13
full 1127 44,8295069714214 75 90
upon 1128 17,0064566518676 47 26
choosing 1129 -0,0562240300496221 8 6
40 1130 -34,2853797984241 36 9
amount 1131 0,713091968937354 44 12
argument 1132 -1,80921437084173 2 0
outbound 1133 13,6242229257357 8 20
ticked 1134 -2,65797228452655 2 0
non 1135 -19,0519349242337 20 11
refundable 1136 -14,1733882812659 22 0
funniest 1137 -2,08977929306672 1 0
subject 1138 -2,81377967503563 4 0
rate 1139 -9,10231372001689 12 5
act 1140 -3,67399616426509 6 2
phishing 1141 -2,07676928573138 1 0
lie 1142 -7,0717795418444 20 11
cheap 1143 -1,64245589153956 33 23
reschedule 1144 -11,5640089228116 15 1
interest 1145 -7,59896161127787 10 2
major 1146 -0,638984958379988 5 7
loser 1147 -2,03051418426005 1 0
cancelling 1148 2,14555368961094 5 3
rescheduling 1149 -4,6865088960093 6 0
basel 1150 -1,44948388680326 3 0
mulhouse 1151 -1,14381692178725 1 0
algiers 1152 -67,1566885675568 8 1
19/03/206 1153 -0,268894991357296 1 0
14:50 1154 -0,264729772212324 1 0
departed 1155 25,6300308652362 20 36
20:06 1156 -0,336809569521253 1 0
explanation 1157 -40,8907825153278 33 0
apology 1158 -11,5681747959313 21 2
representative 1159 -36,2037100749108 63 6
hundreds 1160 -12,909020895096 17 2
stuck 1161 -19,5876680402028 27 4
telephone 1162 9,47172854392404 10 2
address 1163 -24,1616371698499 24 1
lyon 1164 0,76006145657043 4 3
oran 1165 -0,662601256166865 1 0
mainly 1166 -2,10650206790608 4 4
dedicated 1167 6,76721776740962 4 5
operations 1168 -3,67747862244839 3 0
ad 1169 0,64616587015156 1 1
algeria 1170 -2,79882956761812 2 0
tends 1171 -1,39608267298717 1 0
decrease 1172 -1,38010854808619 1 0
stand 1173 -25,8320106580537 20 6
operates 1174 1,22689924003878 1 1
charter 1175 -2,07699582021544 2 5
high 1176 14,5884213750662 11 32
density 1177 -0,991608315655779 1 0
configuration 1178 4,36965874581116 9 11
regular 1179 9,77903038066767 22 31
unbearable 1180 -2,6881444211994 3 0
sat 1181 -2,34251290431363 23 16
those 1182 27,483953070214 39 28
rows 1183 1,39296523048215 11 14
impossible 1184 -10,1067403295109 34 2
move 1185 -6,64156246685496 37 11
eat 1186 3,96977956940875 17 10
correctly 1187 -1,74031939736582 4 1
completed 1188 1,78895253254518 11 6
payment 1189 -15,8880029798895 19 1
forwarded 1190 -1,81512508798164 2 0
error 1191 -2,58260618764097 30 3
called 1192 -18,1216049233086 171 24
disconnected 1193 -8,41007023789458 11 0
speak 1194 -55,3932936921684 77 10
reservation 1195 -24,4863287409704 41 1
something 1196 -2,24849770597578 43 20
details 1197 -3,7101426670375 18 4
e-mail 1198 -4,50251739430358 11 2
ventasonline 1199 -1,30140753849475 2 0
department 1200 -14,5924596938735 29 1
pointless 1201 -3,50620268257624 3 0
showed 1202 22,7469647377017 32 10
print 1203 1,99938784181112 9 5
screen 1204 -34,587679800758 26 23
sudden 1205 -1,7534012242469 2 0
say 1206 88,3362929241901 74 71
know 1207 62,3753236506485 123 39
patience 1208 6,40420587142194 3 5
complaint 1209 -6,78773409504804 47 10
automated 1210 -8,05839080934338 11 0
telling 1211 -4,24520131198 36 5
basically 1212 -31,4604410704041 35 1
you're 1213 -18,5472051497769 20 3
around 1214 -66,5155661305485 111 34
circles 1215 -1,96650787753356 5 0
damned 1216 -2,67162043390405 2 0
stuff 1217 -4,02123688176332 10 4
happen 1218 -10,1548967971256 30 8
aerolineas 1219 -39,4983767605379 40 4
argentinas 1220 -17,1323810267413 24 3
apparently 1221 -24,96618305201 24 3
clients 1222 -7,02173492904833 17 4
haven't 1223 -17,4894761000245 17 1
receiving 1224 -7,33870920279935 6 2
trust 1225 17,1837768644019 8 3
everything 1226 42,7255226228505 55 49
argentina 1227 -23,6700387825584 14 2
avoid 1228 -87,6387187272025 76 5
credit 1229 -26,0867727759698 74 12
card 1230 -17,8284983973617 63 11
safe 1231 15,798564019752 6 14
provider 1232 -3,58909101224928 5 1
receive 1233 -7,72893390046849 61 10
pathetic 1234 -37,5285108329395 11 0
6k 1235 -0,0819417669353735 1 0
class 1236 115,310524435207 116 274
honeymoon 1237 -6,11543522757265 8 0
weren’t 1238 -9,01935565421328 5 0
sit 1239 -5,35333904565933 32 12
together 1240 -41,2778546057538 27 11
ahead 1241 9,19445694097991 16 23
aa 1242 -3,1445251793808 5 3
websites 1243 0,376686490502528 3 1
mean 1244 -8,92961220183857 18 4
can’t 1245 0,730076213567553 25 9
half 1246 -20,4221658369629 60 25
control 1247 2,92560027862228 28 16
security 1248 50,2054957898359 57 39
flagged 1249 -0,0267850338140432 2 0
wife’s 1250 5,885292120597 1 2
until 1251 -29,0272612682671 128 21
entire 1252 -17,8552462469112 45 17
let 1253 -47,0041418407597 85 13
crying 1254 -5,169026839579 10 1
attendant 1255 19,8737235145987 61 44
disgusted 1256 -2,98446786528661 5 0
it’s 1257 -49,4635604840068 45 4
you’d 1258 -1,36190312973312 2 0
passenger 1259 11,9285442989452 58 38
priority 1260 7,62107691435194 26 25
disgraceful 1261 -7,99367006648968 11 1
august 1262 -10,6859600316668 28 17
2022 1263 -19,5090221125675 27 3
cordoba 1264 -11,0592360121008 6 3
ushuaia 1265 -22,0569547873721 10 0
port 1266 0,143889727091365 3 8
embarkation 1267 -0,331506806347289 1 1
antarctic 1268 -2,01869461486055 1 0
cruise 1269 26,4663770058036 2 3
returning 1270 -11,7770307257665 16 8
el 1271 -11,856185419418 20 3
calafate 1272 -14,7018815062018 5 1
expedition 1273 -0,501557702292482 1 0
citing 1274 -1,7205222218393 1 0
ship 1275 27,4731628488624 6 3
reservations 1276 -20,0216578309059 14 1
under 1277 -48,998422024538 36 4
conditions 1278 -7,55986389818595 16 7
within 1279 62,9312156565167 50 34
follow-up 1280 -7,0940579498159 3 0
effort 1281 6,69992183609862 9 7
communications 1282 -4,77553352782295 6 1
messenger 1283 -2,91193244616125 5 0
translation 1284 -0,872064448041871 2 1
apps 1285 10,2987628723955 1 2
agents 1286 -4,24619031299194 39 12
south 1287 -6,38494992846854 6 3
america 1288 -1,35990705790925 9 10
centre 1289 -5,20223358459875 13 2
florida 1290 3,00252611474252 1 3
usa 1291 -21,0259178345212 16 6
5 1292 -75,653533169233 121 41
flexible/refundable 1293 -1,64789965066495 1 0
intention 1294 -1,17441579907873 2 0
honoring 1295 -1,38418404901595 1 0
red 1296 2,8804167342281 8 10
eye 1297 9,46449681546748 2 7
bogota 1298 -13,3640778520443 11 0
montevideo 1299 -2,4726576320234 3 1
sleep 1300 33,1861869871552 31 35
where 1301 -40,7906593241685 142 48
importantly 1302 -1,35570518549332 4 2
miss 1303 -5,56088166747283 55 15
valuable 1304 -2,24975450176269 3 0
vacation 1305 -6,55852280718206 36 17
anywhere 1306 -19,125379848492 15 2
beyond 1307 34,9463122198108 15 22
checkpoint 1308 1,11638108739461 1 2
2.45am 1309 -0,342189192232764 1 0
7 1310 -22,9046195753872 43 16
mistake 1311 -7,88604662902003 28 7
